,"If not answered by DB, do not surface in website. ",,,"If not answered by DB, do not surface in website. ",Data broker primary address,,,,,"If not answered by DB, do not surface in website. ",,,,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data broker name:,"Doing Business As (DBA), if applicable:",Data broker primary website:,Data broker primary contact email address:,Data broker primary phone number: [optional] ,Data broker primary street address:,Data broker city:,Data broker state:,Data broker zip code:,Data broker country:,"Data broker primary address, if it does not comport to the format provided: ",The data broker collects personal information of minors:,The data broker collects consumers’ precise geolocation: ,The data broker collects consumers’ reproductive health care data:,"Data Broker's primary website that contains details on how consumers can exercise their CA Consumer Privacy Act rights, including how to delete their personal information: ",The data broker or any of its subsidiaries is regulated by the federal Fair Credit Reporting Act (FCRA):,"If the data broker or any of its subsidiaries is regulated by the FCRA, listed are the types of personal information the data broker collects and sells that are subject to the FCRA: ","If the data broker or any of its subsidiaries is regulated by the FCRA, listed are the specific product(s) or service(s) that are covered by the FCRA: ","If the data broker or any of its subsidiaries is regulated by the FCRA, listed are the approximate proportion of data collected and sold that is subject to the FCRA  in comparison with their total annual data collection and sales:",The data broker or any of its subsidiaries is regulated by the federal Gramm-Leach-Bliley Act (GLBA):,"If the data broker or any of its subsidiaries is regulated by the GLBA, listed are the types of personal information the data broker collects and sells that are subject to the GLBA: ","If the data broker or any of its subsidiaries is regulated by the GLBA, listed are the specific product(s) or service(s) that are covered by the GLBA:","If the data broker or any of its subsidiaries is regulated by the GLBA, listed are the approximate proportion of data collected and sold that is subject to the GLBA in comparison with their total annual data collection and sales:",The data broker or any of its subsidiaries is regulated by the California Insurance Information and Privacy Protection Act (IIPPA):,"If the data broker or any of its subsidiaries is regulated by the IIPPA, listed are the types of personal information the data broker collects and sells that are subject to the IIPPA: ","If the data broker or any of its subsidiaries is regulated by the IIPPA, listed are the specific product(s) or service(s) that are covered by the IIPPA:","If the data broker or any of its subsidiaries is regulated by the IIPPA, listed are the approximate proportion of data collected and sold that is subject to the IIPPA in comparison with their total annual data collection and sales:",The data broker or any of its subsidiaries is regulated by the California Confidentiality of Medical Information Act (CMIA):,"If the data broker or any of its subsidiaries is regulated by the CMIA, listed are the types of personal information the data broker collects and sells which are subject to the CMIA:","If the data broker or any of its subsidiaries is regulated by the CMIA, listed are the specific product(s) or service(s) that are covered by the CMIA:","If the data broker or any of its subsidiaries is regulated by the CMIA, below are the approximate proportion of data collected and sold that is subject to CMIA in comparison with their total annual data collection and sales:",The data broker or any of its subsidiaries is regulated by the federal Health Insurance Portability and Accountability Act (HIPAA):,"If the data broker or any of its subsidiaries is regulated by HIPAA, listed are the types of personal information the data broker collects and sells that are subject to HIPAA: ","If the data broker or any of its subsidiaries is regulated by HIPAA, listed are the specific product(s) or service(s) that are covered by HIPAA:","If the data broker or any of its subsidiaries is regulated by HIPAA, listed are the approximate proportion of data collected and sold that is subject to HIPAA in comparison with their total annual data collection and sales:",Number of requests to delete received from consumers in 2023: ,Number of requests to delete complied with in whole in 2023: ,Number of requests to delete complied with in part in 2023: ,Number of requests to delete denied in 2023: ,Median number of days taken to respond substantively to a request to delete in 2023:,Mean number of days taken to respond substantively to a request to delete in 2023:,Number of requests to know recieved from consumers in 2023:,Number of requests to know complied with in whole in 2023: ,Number of requests to know complied with in part in 2023:,Number of requests to know denied in 2023:,Median number of days taken to respond substantively to a request to know in 2023:,Mean number of days taken to respond substantively to a request to know in 2023:,"Number of requests to know what personal information was sold or shared, and to whom it was sold or shared, received from consumers in 2023:  ","Number of requests to know what personal information was sold or shared, and to whom it was sold or shared, complied with in whole in 2023:","Number of requests to know what personal information was sold or shared, and to whom it was sold or shared, complied with in part in 2023:","Number of requests to know what personal information was sold or shared, and to whom it was sold or shared, denied in 2023:","Median number of days taken to respond substantively to a request to know what information was sold or shared, and to whom it was sold or shared, in 2023:","Mean number of days taken to respond substantively to a request to know what information was sold or shared, and to whom it was sold or shared, in 2023:",Number of requests to opt out of the sale or sharing of personal information received from consumers in 2023:,Number of requests to opt out of the sale or sharing of personal information complied with in whole in 2023:,Number of requests to opt out of the sale or sharing of personal information complied with in part in 2023:,Number of requests to opt out of the sale or sharing of personal information denied in 2023:,Median number of days taken to respond substantively to a request to opt out of the sale or sharing of personal information in 2023:,Mean number of days taken to respond substantively to a request to opt out of the sale or sharing of personal information in 2023:,Number of requests to limit the use and disclosure of sensitive personal information received from consumers in 2023:,Number of requests to limit the use and disclosure of sensitive personal information from consumers complied with in whole in 2023:,Number of requests to limit the use and disclosure of sensitive personal information from consumers complied with in part in 2023:,Number of requests to limit the use and disclosure of sensitive personal information from consumers denied in 2023:,Median number of days taken to respond substantively to a request to limit the use and disclosure of sensitive personal information in 2023:,Mean number of days taken to respond substantively to a request to limit the use and disclosure of sensitive personal information in 2023:,Additional information or explanation on the metrics reporting: [optional],Additional information or explanation concerning the data collection practices: [optional]
Explorium Inc. ,,https://www.explorium.ai,privacy@explorium.ai,,850 Main St. ,Redwood City,CA,94063,USA,N/A,No,No,No,https://www.explorium.ai/platform-privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,10,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Explorium is a newly registered data broker, we have some record of deletion requests. Data about response time for 2023 is an estimation. ","Explorium is an external data platform providing data services to businesses about businesses. The Explorium platform and services assist marketing and sales teams with tailored go-to market data, allow predictive prospecting, lead scoring, supply chain analysis and enrichment of customer's databases. As such, we may process any of the following categories of data about business and professionals.  

* Identifiers and other  information such as name, signature, address, unique personal identifier, online identifier, IP address, email address, telephone number. 
* Commercial information, including records products, or services purchased, obtained, or considered, or other purchasing or consuming histories or tendencies.
* Internet or other similar network activity and technical information related to use of mobile device or computer.
* Professional or employment-related information, such as employment history, skills certifications, or job titles.
* Inferences drawn from other personal information, such as preferences, characteristics, behavior, and aptitudes in capacity of business activities. 

Explorium never shares  with any third party data which our customers provide to us in order to use our platform and services, and we never share any of our platform usage data. 

"
"M1 Data & Analytics, LLC",,https://www.m1-data.com,gashe@m1-data.com,954-776-1197,"1000 NW 65th Street, Suite 200",Fort Lauderdale,FL,33309,USA,N/A,No,Yes,No,https://www.m1-data.com/disclosures/,No,,,,No,,,,No,,,,No,,,,No,,,,2297,2195,0,2,3,3,2258,2231,0,27,3,3,2297,2295,0,2,3,3,589457,589456,0,1,3,3,0,0,0,0,0,0,"Any denial of above requests was due to not having any data as it relates to the consumer or consumer provided information. 
All requests to know include sold and or shared information so this is why the numbers are duplicative for both sections.",
"Sabio, Inc.",,https://www.sabio.inc/,privacy@sabio.inc,844-974-2662,315 Culver Boulevard,Playa del Rey,CA,90293,USA,N/A,No,No,No,https://www.sabioctv.com/privacypolicy,No,,,,No,,,,No,,,,No,,,,No,,,,1590436,1590436,0,0,3,3,11,11,0,0,3,3,0,0,0,0,0,0,17,17,0,0,1,1,0,0,0,0,0,0,,
AppScience,,https://www.appscience.ai/,privacy@appscience.inc,844-974-2662,"16350 Ventura Blvd, Ste D827",Encino,CA,91436,USA,N/A,No,No,No,https://www.appscience.ai/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,10,10,0,0,2,2,15,15,0,0,1,1,0,0,0,0,0,0,13,13,0,0,1,1,0,0,0,0,0,0,,
LexisNexis,,https://www.lexisnexis.com/en-us,privacy.inquiries@lexisnexis.com,800-897-3259,1801 Varsity Drive,Raleigh,NC,27606,USA,N/A,No,No,No,https://www.lexisnexis.com/en-us/terms/us-privacy-notice.page,No,,,,No,,,,No,,,,No,,,,No,,,,74,30,0,44,24,28,37,19,0,18,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,"Data within the scope of this registration is limited to professional contact details, professional, educational and employment history, and charitable giving data sold to professional, business and non-profit entities, foundations and educational institutions"
"Lotame Solutions, Inc.",,https://www.lotame.com,privacy@lotame.com,410-379-2195,"8890 McGaw Road, Suite 250",Columbia,MD,21045,USA,N/A,No,No,No,https://www.lotame.com/privacy/privacy-manager/,No,,,,No,,,,No,,,,No,,,,No,,,,9,7,0,2,12,14,4,3,0,1,10,15,0,0,0,0,0,0,9,6,0,3,4,7,0,0,0,0,0,0,,
CITYDATA Inc.,,https://citydata.ai,privacy@citydata.ai,650-204-0028,548 Market Street,San Francisco,CA,94104,USA,N/A,No,Yes,No,https://cision.com/legal/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,84,84,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CITYDATA does not collect the names, email addresses, phone numbers, physical addresses, or any personal information from consumers. CITYDATA collects anonymized location data points for the purposes of aggregating and inferring density counts and patterns for civic use cases in our cities and counties. An example of such aggregation would be ""the financial district had a crowd density of 5304 people on new year's day"". CITYDATA does not retain the anonymized original data points post aggregation. While we entertain all incoming requests for privacy-related data deletion from consumers, we cannot look up the data for an individual consumer because our data is anonymized and aggregated.",
"Unearth Campaigns, LLC",,https://www.unearthcampaigns.com,privacy@unearthcampaigns.com,855-456-2646,"555 Capitol Mall, Suite 525",Sacramento,CA,95814,USA,N/A,No,No,No,https://www.unearthcampaigns.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,5,0,0,0,0,0,0,,
"Censia, In.",,https://www.censia.com,privacy@censia.com,,"447 Sutter Street, Suite 405",San Francisco,CA,94108,USA,N/A,No,No,No,https://www.censia.com/ccpa/,No,,,,No,,,,No,,,,No,,,,No,,,,268160,268160,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We do not sell our data.  We do not collect PCI data,"We collect work, education history, email address, phone number, and skills.  Similar to what you would see in LinkedIn"
